                  id                  |             movement_id              |              variant_id              | quantity | amount | return |         created_at         |         updated_at
--------------------------------------+--------------------------------------+--------------------------------------+----------+--------+--------+----------------------------+----------------------------
 5a50c945-5399-4642-acc5-9c5b02f1b08c | 3cb10430-54cd-4eb1-a09f-579f60d4b7a4 | 476e77d7-bc33-46f8-b035-23fa9ed8da59 |       32 |        | f      | 2023-07-03 05:46:38.97923  | 2023-07-03 05:46:38.988509
 6d8a9cd3-5dcd-4248-a276-47b4ac31f299 | 33f68c87-636d-4436-92d0-64c9fc48c81c | 6820ce00-e935-4326-8fec-f084be377256 |       26 |   10.4 | f      | 2023-07-04 07:51:37.791825 | 2023-07-04 07:51:37.791825
 7b0b96a8-95b9-4b68-8080-a7f180348260 | 3cb10430-54cd-4eb1-a09f-579f60d4b7a4 | 78c6e2e7-d3db-417f-9e3a-548c6887ce31 |      960 |  161.0 | f      | 2023-07-03 05:46:38.989731 | 2023-07-03 05:46:39.002695
 981bcf3d-a91d-4a11-8363-75cdfc13ca23 | d1d30826-acd2-4c29-b1e0-94ca36ca5002 | 476e77d7-bc33-46f8-b035-23fa9ed8da59 |      594 |        | f      | 2023-07-03 07:24:25.593909 | 2023-07-03 07:24:25.602927
 9a31871e-f7d7-41f3-aa4d-fb9f4edef58b | 35939739-f5e6-4cf0-8ddc-8dc53df4039b | cf5ddd0a-94fd-4051-bf3b-3efd0f59975d |      512 |    0.0 | f      | 2023-07-03 07:48:13.878121 | 2023-07-03 07:48:13.878121
 aa748583-d71c-4a03-b4f5-651ee9c3c450 | 7c70d104-7ea0-4b4d-a838-6d31f794fe1a | 476e77d7-bc33-46f8-b035-23fa9ed8da59 |      594 |        | f      | 2023-07-03 07:57:52.248942 | 2023-07-03 07:57:52.258609
 21d04286-c72a-4e5a-b66d-5cf1a1034878 | 311c9f51-4d06-46bb-8dea-6f42e9ac94df | cf5ddd0a-94fd-4051-bf3b-3efd0f59975d |      282 |    0.0 | f      | 2023-07-03 09:46:51.615977 | 2023-07-03 09:46:51.615977
 0fb516f4-aba0-435f-9dcf-f82d903249e0 | 311c9f51-4d06-46bb-8dea-6f42e9ac94df | 3f385dec-62bf-4380-9ff6-a2280a32a1f3 |      600 |    0.0 | f      | 2023-07-03 09:46:51.626308 | 2023-07-03 09:46:51.630464
 6559e95b-73f1-4434-ac7b-25410b53b862 | b47276c7-d3bd-4a2d-bc6d-906315f6b587 | 476e77d7-bc33-46f8-b035-23fa9ed8da59 |      476 |        | f      | 2023-07-03 10:54:39.643501 | 2023-07-03 10:54:39.65219
 46f37f42-fb5d-457f-b9ec-bd2ad907a09b | a0ead62c-7ec6-45d9-bfbe-948f509baf88 | 476e77d7-bc33-46f8-b035-23fa9ed8da59 |      306 |        | f      | 2023-07-03 11:43:24.153922 | 2023-07-03 11:43:24.163205
 ad82050b-d6f8-44ec-b4d9-ffd5e17cf0e4 | 2ce2185e-ff96-4ed8-983f-a193c98b606b | 3f385dec-62bf-4380-9ff6-a2280a32a1f3 |      144 |    0.0 | f      | 2023-07-04 05:45:27.890948 | 2023-07-04 05:45:27.890948
 08eca3ae-c908-4916-bc99-a7a975fbb53d | e1fb9094-8454-4763-8bbd-18c6e953fe02 | 476e77d7-bc33-46f8-b035-23fa9ed8da59 |       32 |        | f      | 2023-07-04 05:59:18.201686 | 2023-07-04 05:59:18.213575
 92ac8a99-3b61-42da-8442-41021feb134d | 33f68c87-636d-4436-92d0-64c9fc48c81c | e7037c34-a0fa-456e-9553-3db60f661f66 |       16 |    3.2 | f      | 2023-07-04 07:51:37.798117 | 2023-07-04 07:51:37.800671
 2c50738f-bee7-411b-b201-a5ed972a31c7 | e01d166e-12af-413d-9f0e-f1e1a3003f23 | 6820ce00-e935-4326-8fec-f084be377256 |      299 |  119.6 | f      | 2023-07-04 07:52:14.420448 | 2023-07-04 07:52:14.420448
 4aa6bacd-3830-4810-87ff-a877f34d4e61 | e1fb9094-8454-4763-8bbd-18c6e953fe02 | 78c6e2e7-d3db-417f-9e3a-548c6887ce31 |      960 |  212.0 | f      | 2023-07-04 05:59:18.214951 | 2023-07-04 05:59:18.23424
